ID #,TITLE,DESCRIPTION,LOCATION,DISTRICT,LATITUDE,LONGITUDE
CF-041785,Bruce Vento Nature Sanctuary Stair Connection,"This project requires matching funds to an approved TEA-21 Federal grant to provide a pedestrian connection between Indian Mounds Regional Park and Bruce Vento Nature Sanctuary located over 100 feet directly below the bluff.  Beginning at the Mounds Park overlook which is just south of Commercial Street along Mounds Boulevard, the connection will be constructed with some combination of trail and stairway to allow linkage of these two park sites and provide access to the adjacent neighborhood.",Indian Mounds Park Overlook to Bruce Vento Nature Sanctuary,4,,
SU-661164-1,Railroad Crossing Safety Improvements,"Annual program for safety and surface improvements at approximately 40 at grade railroad crossings throughout the City.  The program would include improvements of warning signals and gate arms at crossings with collector and arterial streets, and improve surfacing where needed.  The goal is to improve safety at railroad crossings and to give a better riding surface.",Citywide at-grade Railroad Crossings,Citywide,,
CF-102166,Como Park Play Area,"This proposal seeks to replace the play equipment at Como Park with equipment which meets CPSC safety guidelines and the ADA.  Addition of synthetic resilient surfacing which provides accessibility to play equipment will be a critical component of this improvement.  Additional site improvements including walks, benches, and landscaping will be provided as necessary.",Midway Parkway and Estabrook Drive,10,,
SU-553189,Kellogg/3rd Street Bridge Rehabilitation,"The 1700 foot long, 18 span Kellogg Boulevard/3rd Street Bridge was built in 1982 and connects Downtown St. Paul with the Eastside.  Rehabilitation of structural issues in the concrete pier caps and the deck expansion joints is required at this time.  If left unaddressed, these structural element issues will quickly lead to load restrictions and ultimately the bridge will need to be replaced.",Kellogg/3rd Street Bridge from Mounds Boulevard to John Street,"4, 17",,
SU-081666,Dale/University Streetscape,Install twin lantern style lighting on Dale and University adjacent to the new Library.,Dale and University Avenue adjacent to the new Library,"1, 2, 5",,
SU-012483,Ruth Street Bike Lanes,Install on-street bike lanes along Ruth Street from Upper Afton Road to East Minnehaha. Add parking lane along east side of Ruth Street between Wilson Ave. and Conway St.,Ruth Street from Upper Afton to East Minnehaha,1,,
CF-052894,Fiber Optics - SPPD Eastern & Payne/Maryland,"The City is planning a new facility at Payne and Maryland to replace the existing Arlington Hills Recreation Center and Arlington Hills Library with a new technology and program rich facility to meet the learning, literacy, meeting and recreation needs of the neighborhood. Plans include dramatically increased computer access; teen media space; and state-of-the-art classrooms. The SPPD Eastern District office at 722 Payne suffers from slow network connections. Recently the State has required that SPPD submit more reports online. This new burden and the need to share more information, including video and photo files, has taxed the current network infrastructure to the point that it is adversely impacting the staffs ability to do work. Both of these facilities need a fiber optic network from the Griffin building to their location. Since the locations are within blocks of each other, it is recommended that the same fiber build cover both buildings.",Two locations - 722 Payne and Payne/Maryland,5,,
CF-041012,Bruce Vento Nature Sanctuary - Phase I Development,"Phase I development of this recently acquired property includes installation of required fencing along the BNSF Railroad tracks and all other sides for safety and illegal dumping protection; trash, concrete slab, asbestos removal and excavation, and removal of contaminated soils.  It will include completion of a required Archeological Testing, Treatment and Management Plan.  Implementation of a Natural Resources Management Plan including soil testing, soil remediation, invasive vegetation removal and revegetation with native plan material; excavation of wetland areas and implementation of erosion control measures on slopes above site.","Parcel bounded by Kellogg Blvd. bridge (East 3rd St.), Commercial St. and BNSF Railroad Tracks",4,,
SU-6600816-5,Baker/Bellows RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Baker/Bellows RSVP,"2, 4, 5, 6, 7",,
SU-100752,Midway Parkway Improvements - Hamline to Snelling,"Proposal is for paving, lighting and landscaping improvements to the one-half mile section of Midway Parkway between Hamline and Snelling Avenues, with overall design to be coordinated with the design of proposed Midway Parkway improvements within Como Park, and to include the following:
1.Reconstruction of the central parkway and the north and south service drives, with new paving, curbs, gutters, drainage structures and sidewalks, with design to enhance parkway character.
2.At all corners, narrowing the width of all streets to the width of the travel lanes only, making the no-parking zones at corners self enforcing, improving sight distance for traffic safety, reducing pedestrian crossing distances, helping drivers maintain reduced speeds, and enhancing parkway character.
3.Generally allow parking on one side only to maintain existing street width and protect existing trees. Widen the south service drive by 7 ft. (where possible without harming trees) and central parkway 6 ft. on the block between Snelling and Arona to safety provide two-sided on-street parking needed by Sholom Home.
4. Install lantern style street lights (about 53 total spaced at 110' on central parkway - 165' on 
service drives.)
5.Plant canopy trees and other landscaping appropriate to this formal primary entrance to Como Park.",Midway Parkway right-of-way between Hamline Ave. and Snelling Ave. Frontage roads only.,"3, 17",,
RE-031855,Riverview Commercial Club Site Reconstruction,Revitalize the SW corner of Cesar Chavez and Robert by developing a commercial or mixed-used building that contributes to the uniquesness and vibrancy of the District del Sol Commercial Corridor.,The SW corner of the Cesar Chavez/Robert intersection.,3,,
CF-042910,Indian Mounds Regional Park Play Area,"Replacement of play equipment, bituminous paths, a small picnic shelter and related
site amenities. Installation of resilient surfacing for ADA accessibility.",Earl and Mounds Blvd,4,,
SU-033007,Ohio Street Reconstruction,"Reconstruction of Ohio Street (North of West George Street to Plato). Ohio Street south of George was reconstructed several years ago - increasing visibility, controlling traffic, and overall improving safety for the majority of the Ohio corridor. Unfortunately, a relatively short stretch of Ohio Street between George & Plato streets was not improved at that time. Despite being a critical gate way to the West Side and downtown Saint Paul, this 5 block length of Ohio includes a curvy steep hill, multiple residential buildings causing significant site obstructions, an old roundabout leftover from the former street car line that resulted in many acute angles and awkward geometry, and old bent pole lighting that is inconsistent with the neighborhood. We are requesting CIB funding for the reconstruction of this final critical stretch of Ohio that it used by many to access Harriet Island, the High Bridge, and downtown St. Paul.",Ohio Street-from George Street W. to Plato Street W.,3,,
SU-551893,Ayd Mill Road Ramp from I-35E,Reconstruct the north bound I-35E exit ramp to Ayd Mill Road.  The ramp will be reconstructed to be combined with the north bound I-35E exit ramp to Randolph Avenue as originally indicated in the I35E Environmental Impact Study (EIS).  This work would be included with the planned mill and overlay work by Mn/DOT to reduce project cost and minimize traffic disruption.,I-35E north bound exit ramp between West 7th Street and Jefferson,"9, 15",,
SU-031122,Fillmore Street Railroad Crossing - West Side Flats,"This proposal includes reconstructing Fillmore Street to allow an at-grade railroad crossing, installation of rail crossing warning devices, and installation of a traffic signal at Fillmore and Wabasha.",Fillmore St. between Wabasha and Custer Streets,3,,
SU-151506,St. Paul @ Cleveland Intersection Improvement,Create a safe intersection which will allow movement for drivers to enter the intersection with more defined purpose. The HDC has been working with Public Works on a design for this dangerous intersection.,"Cleveland and St. Paul Avenues, Bohland and Inner Drive",15,,
RE-6603343-5,Dickerman Park - 8-80 Vitality Fund,"Based on the work of Gil Penalosa, an internationally renowned urban designer, this fund will allow the building of bold and vibrant places across the City of Saint Paul.  The 8-80 Vitality Fund will build on the momentum of recent investments such as Rebuild Saint Paul and the Green Line.  An 8-80 city works for people aged 8 and aged 80, by providing streets and public spaces that create vital and welcoming neighborhoods.

Investments include:
$8M - Palace Theatre renovations to match State bonding
$8M - Jackson Street reconstruction and phase 1 of downtown bike loop
$13.2M - Grand Rounds, including street reconstruction and bike lanes
$2M - Dickerman Park, developing green spaces on the Green Line
$1.8M - Optical fiber infrastructure to provide high speed citywide network connectivity
$9.5M - Street Reconstruction, including 8-80 streets and public spaces",University and Wheeler,11,,
SU-020704,Edgewater Boulevard Reconstruction,Reconstruct Edgewater between Magnolia and Maryland and Maryland between Nokomis and McKnight with bituminous pavement and concrete curb and gutter.  Both of the existing roadways are oiled streets. It is proposed to construct Edgewater as a divided roadway at  the same widths as constructed on Edgewater south of Magnolia.  It is proposed to construct Maryland to the MSA standard of 32' with one side parking or 38' with two side parking. Lantern style lighting and trees will be installed in conjunction with the street reconstruction.,Edgewater Blvd  from Magnolia to Maryland and from Nokomis to McKnight,2,,
CF-131083,Aldine Park Update,"Upgrade Play Areas at Aldine Park - 

Tot Lot:  Replace existing climbing structure with two separate play structures: one appropriate for 2-5 year olds, and one appropriate for 5-12 year olds.  New equipment to be compliant with current Consumer Product Safety Commission guidelines and the Americans with Disabilities Act.

Basketball Court:  Replace existing backboards and resurface court if necessary.  

Shelter:  Replace existing shelter and seating",Aldine and Igelhart,13,,
SU-072643,Western Avenue Streetscape Improvements,"Improve Western Avenue between Selby and University by installing new curb and gutter, improving pavement surface, bumpouts, ADA compliant pedestrian ramps, bike facilities, lantern style street lighting system, bike racks, public art, signage, landscaping and make any needed improvements to the sewer system.",Western - Selby to University,7,,
SU-551874-1,Midtown Greenway - Saint Paul Extension (Phases I & II),"This proposed project will construct an off-street bicycle/pedestrian trail along the north side of the Canadian Pacific Railway from the termination of the Minneapolis Midtown Greenway, at the western city limits of Saint Paul, to the Hamline Avenue/Ashland Avenue/Syndicate Street intersection in the east, where it will connect with the Ayd Mill Road Bicycle/Pedestrian Trail. This proposed extension is approximately 2.8 total miles of new off street trail (Phase I - 1.3 miles, Phase II - 1.5 miles), and will provide a mostly non-stop east-west connection along the Canadian Pacific Railway Corridor linking regional and local trail systems, downtown and area business districts, college and university campuses, and neighborhoods.",CP Railway from Western City limit to Hamline Avenue,"12, 13",,
SU-6600816-28,Snelling St Clair Grand Center Medians,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Snelling St Clair Grand Center Medians,14,,
SU-550796-1,Ayd Mill Off-Road Bike Trail,Construct an off-road bicycle/pedestrian trail along the east side of the Canadian Pacific Railway (east of Ayd Mill Road) from Syndicate Street at Ashland Avenue to Victoria Street at Benhill Road/Pleasant Avenue (approximately 1.5 miles).  Extend the bicycle trail on street to the north to the existing bike lanes on Pascal Street at Marshall Avenue (approximately 0.7 miles).  Extend the bicycle trail on street to the south to the existing I35E bicycle trail on Palace Avenue at Victoria Street (approximately 0.2 miles).  The total project length is about 2.4 miles.,East side of the Canadian Pacific Railway Track from Selby (near Hamline) to the existing I35E Bike Trail,"9, 13, 14, 16",,
CF-661330,Regional Parks and Trails Master Plans,"Preparation of Master Plan documents for Saint Paul park and trail additions to the Regional Parks System, as follows:
1.  Bruce Vento Nature Sanctuary site and related trail connections to Indian Mounds Park, the Bruce Vento Regional Trail and to Lowertown.
2.  Trillium Nature Sanctuary site and Trout Brook Trail connection.
3.  Harriet Island to South Saint Paul Regional Trail.
4.  Summit Avenue Regional Trail.
5.  Lexington Parkway Regional Trail.",Citywide,Citywide,,
RE-661300,Neighborhood Improvement Home Rehabilitation Program,Newly created program that will focus on rehabilitating problem properties. Specific guidelines to be developed in 2005.,Citywide,Citywide,,
CF-053145,Wilder Play Area,"Update Wilder play area to meet or exceed current safety recommendations and ADA compliance standards.  Play area enhancements may include installation of resilient surfacing to meet ADA compliance, equipment replacement, play curb replacement, and improvement of seating and landscaping.","958 Jessie Street, St. Paul, MN  55101",5,,
RE-660812-1,Housing Real Estate Development Fund,"This is a flexible source of financing to primarily assist in the development of major new or rehabilitated housing projects.  Eligible uses of funds are all uses defined eligible under CDBG rules as they pertain to acquisition and related costs, relocation, demolition, site preparation, public improvements, rehabilitation and new construction, and all financing and other related costs that are part of the total development cost of a housing project.  The funds address a variety of housing real estate development opportunities in city neighborhoods.  The use of the funds are determined by Mayor, City Council/HRA and neighborhood priorities.",Citywide,Citywide,,
SU-6602231-22,Como/Chatsworth RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Como/Chatsworth RSVP,10,,
SU-660826-1,Citywide Lighting Improvements Program,Installation and/or adjustments to lighting as necessary and in compliance with lighting policy.,Citywide,Citywide,,
CF-101757,Como Pool Replacement,"Design and phased construction of an expanded outdoor aquatics facility at the site of the existing Como Pool.  Facility would include:  Renovation of the existing pool, New building with outdoor shower facilities, Expanded parking area, Wave pool, Splash Pad, Infrastructure for future development phases.",Horton Avenue and Lexington Parkway,10,,
SU-022362,Phalen Village Left Turn Lanes,Install left turn lanes on westbound and eastbound Maryland at Clarance Street and Phalen/Prosperity intersections.  The project will reconstruct the traffic signals at Maryland & Clarance and Maryland & Prosperity.  This proposal will fund the City's share of the project which will be administered by Ramsey County.  Ramsey County has received Federal Funding for 2010 for the Maryland and Phalen/Prosperity intersection.,Maryland Avenue from Clarence Street to Prosperity Avenue,2,,
SU-032331,Morton Street Stairs Reconstruction,This project will reconstruct the public stairway that is located near Morton Street and State Street.,Morton Stairs near Morton Street and State Street,3,,
SU-661683-2,Sewer Tunnel Repair Program,"Initiate a long term program which identifies and prioritizes maintenance, repair, rehabilitation and replacement needs within the City's sewer tunnel system.",Citywide,Citywide,,
SU-061138,Wheelock Parkway Bridge No. 90396,"Remove: Existing deck, walks and railings to the top of the girders.
Construct: New deck, walks, railings, low slump overlay, expansive devices, slope protection, approach panels and paint structural steel members.",Wheelock Parkway Bridge over Soo Line RR tracks between Park Street and Sylvan Street.,6,,
RE-550861-1,Economic Development - Loan Leverage Fund,"To provide loans and loan guarantees to businesses located in the service area and/or to identify blighted, marginal retail buildings, acquire and prepare for reuse or demolition.  

The Economic Development - Loan Leverage fund is designed to target small to medium service, retail or manufacturing businesses that both provide service to the neighborhood and the opportunity for employment.  Funds for the loan or loan guarantees can finance up to one half of the project thus leveraging bank financing.  Eligible uses include site acquisition, construction, machinery, working capital and site improvements.  A budget of $200,000 for 2006 and $200,000 for 2007 is requested for this program.",Within the service area of Larpenteur-McKnight-Minnehaha-Johnson Parkway,"1, 2, 4",,
SU-123670,Cleveland Ave - Hendon to Larpenteur,"Provide local funds to contribute to a Ramsey County project reconstructing Cleveland
Avenue with bituminous pavement, including concrete curb and gutter, driveway
aprons, outwalks, ADA compliant pedestrian ramps, storm sewer system improvements
and grade and sod boulevards. In addition, the City of Saint Paul would like to include
new street lighting, tree planting, traffic signal revisions and signal interconnection
improvements. This proposal is to fund the City share of the project cost.",Cleveland Ave from Hendon to Larpenteur,12,44.986495,-93.187181
CF-660836-399,Rice Park Irrigation Replacement- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,109 West 4th Street,17,44.94416744,-93.09708065
CF-660836-447,Marydale Park - Upgrade Park Amenities- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,542 Maryland Avenue W,Citywide,44.977371,-93.123111
CF-660836-351,City-Wide Services Roof Replacement- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,1820 Edgcumbe Road,15,44.91119915,-93.15681193
CF-660836-15A,Highland Pool Filtration System- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,1840 Edgcumbe Road / Highland Park,,,
SU-043190,"East 7th Streetscape, Pedestrian and Bicycle Enhancements","Provide a north-south, on-street, bike lane on Forest Street from Reaney Avenue to Wells/Phalen Boulevard.  Provide an east-west, on-street, share the road facility for bikes on Reaney Avenue from Forest to Johnson Parkway.  Widen the sidewalk on Arcade Street from East 7th to Minnehaha.  Replace the existing bent straw lighting system with twin lantern style street lighting on Arcade Street from East 7th to the bridge over Phalen Boulevard and on East 7th Street from Minnehaha to Bush.  Plant new street trees along East 7th and along Arcade.",East 7th from Minnehaha to Bush; Reaney from Forest to Johnson Pkwy; and Forest Reaney to Wells,4,,
SU-172332-1,Kellogg Boulevard Bridge Reconstruction at Market Street,This project will reconstruct Kellogg Boulevard Bridge (No. 92789) located on the eastbound side of Kellogg Boulevard near the intersection of Market Street. The existing bridge will be removed and a new bridge of similar cross section will be built on the same alignment. Railings and lighting will be similar in design to the present type at this location.,Kellogg Boulevard near the Market Street Intersection,17,,
RE-660809-1,Neighborhood Revitalization Acquisition Fund,"Many of our neighborhoods work on a coordinated and deliberate approach to revitalization.  This approach allows the neighborhoods/City to be proactive rather than reactive to neighborhood concerns and problems.  Neighborhoods/City have identified strategic areas through small area plans and targeted redevelopment areas.  Plans address a comprehensive and targeted effort to address blight, underutilized, obsolete uses that need to be addressed in a larger scale plan.  Sites within these areas may become available before all parts of a project are put together.  Being in a proactive position to take advantage of the property that may be vacant or for sale in these targeted areas can reduce development expenses by as much as 50%.  This savings can result in a project moving forward in a reasonable time and also making dollars go much further in the overall development.  - allow funding for acquisition of properties in designated target neighborhoods which have developed strategic plans with approval by the HRA/City.  - funding would be provided only to projects that have the ability to be developed within a two-year period of time.  - funding for site control could be undertaken by a developer and/or HRA.  - funding would be structured as a loan to be repaid when the total project moves forward to be developed (other funding may be necessary for assistance to the project, but these funds would be paid back to revolve for other sites).  - funds could be used for acquisition, demolition, relocation, etc.  - funds will be limited to $500,000 or less per site control",Citywide sites located within strategic corridors or within targeted redevelopment areas.,Citywide,,
RE-660808-1,Capital City Business Development,"This fund provides a flexible source of gap financing to assist with the rehabilitation and development of commercial properties and financial assistance on a citywide basis.  Eligible uses of funds are all defined eligible under CDBG regulations as they pertain to acquisition and related costs; relocation; demolition; site preparation; public improvements; rehab; the treatment, removal and disposal of hazardous materials; new construction; equipment; leasehold improvements; working capital; loan guarantees and all financing and other related costs that are part of the total development cost of a business project.  The fund provides flexible funds to address a variety of business financing opportunities in St. Paul.  Examples include business loans to purchase and rehab a building, loan guarantees for businesses to secure working capital, loans for businesses who lease to fund leasehold improvements, along with loans for the renovation and construction of mixed use commercial/residential buildings on St. Paul's neighborhood commercial strips.  The use of these funds are on a citywide basis including the current existing programs: Neighborhood Commercial Rehabilitation Loan Program; Citywide Commercial Rehabilitation Loan Program; Neighborhood Commercial Vacant Building Loan Program.",Citywide,Citywide,,
SU-6602231-4,Davern/Jefferson RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Davern/Jefferson RSVP,14,,
CF-660836-403,Kitchen Remodel Fire Station 14- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,111 N. Snelling Ave,14,44.93823929,-93.16712316
CF-660836-396,Como Carousel Building Concrete- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,1245 Midway Pkwy,10,44.98016952,-93.1533189
CF-661277,Real Estate Division Design Services,"OFS's Real Estate Division provides staff time and expertise to other city departments that prepare capital maintenance and CIB proposals. These departments do not compensate the division for proposals, only for projects that are eventually funded.",Citywide,Internal Accounting,,
CF-660836-445,Dayton's Bluff Recreation Center - Security Cameras- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,800 Conway St,Citywide,44.955271,-93.065283
SU-103673,Snelling Ave at Midway Traffic Signal,"MnDOT is reconstructing the signals at the intersections of Snelling at Midway and
Snelling at Hoyt (separate proposal).This proposal is to fund the City share of the project
cost of the Snelling at Midway traffic signal.",Snelling at Midway,10,44.981145,-93.166949
SU-172953,4th Street Reconstruction - Minnesota to Wabasha,"This project is to reconstruct this older paved street with full depth concrete pavement. The project also includes constructing new concrete sidewalk with brick boulevards, installing ADA compliant pedestrian ramps at corners, planting trees if requested, installing a new street lighting system and making any needed improvements to the sewer system. This project will extend a little east of Minnesota Street and tie in where the Central Corridor Light Rail Transit Project left off.",Cedar and 4th,17,,
SU-553253,Safe Crossings for Pedestrians and Bikes,"This project would improve the intersection of Burns Avenue and Highway 61, making it safer for pedestrians and bicyclists to cross the highway and connecting parks, trails and residential areas. This would involve restriping crosswalks, establishing refuges mid-crossing, and adjusting signals for bikes and pedestrians.",Burns Avenue and Highway 61,"1, 4",,
CF-051475,Duluth Case Recreation Renovation Planning,"Funding is requested for community and physical planning to re-design, upgrade and expand service facilities at the Duluth Case Recreation Area. New facilities are required to respond to new resident populations and priorities. Building and field use far exceeds capacity and the site is inadequate for present and future needs. Facilities planned with community input can address safety needs and better accommodate the diverse leisure needs of our rapidly growing population. Maximum public benefit will be assured with coordinated planning that optimally leverages surrounding land use and development opportunities or resources. Planning is urgently required to capture unique opportunities presented by growing resident populations and 500 new housing units, street access to the Phalen Boulevard, and new resources to develop natural features for recreational, educational, and environmental benefit (Duluth Woods). Thoughtful renewal, reinvestment and redevelopment of Duluth Case Recreation Area will have a transformative impact in our fast growing neighborhood.",1020 Duluth St. - Corner of Lawson and Duluth Street,"6, 7, 8, 10, 11, 12",,
SU-6600816-25,Phalen Johnson Intersection Improvements,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Phalen and Johnson,5,,
SU-050730-1,Census Tract 9 & 10 Lighting Replacement - (2002-2006),"This project involves much of the lighting in an area bounded by Arcade St., Ivy Ave., 35E, and Case Ave.  Replacement of rusting light poles and rewiring.  Assumes lantern-style lighting will be the preferred replacement.  This is the only 220 volt wiring in the City.  Existing wire and conduit will be used as much as possible.    Approximately $1M is necessary to complete the project.","Area bounded by TH35E (west), Arcade St. (east), Maryland Ave. (north), and Case Ave (south)",5,,
SU-662229-1,"Local Street, Alley, Sewer and Lighting Program","Construct streets, alleys, storm and sanitary sewers, and street lighting when petitioned by abutting property owners.  These projects assist residents and businesses that are located at corner properties that have already been assessed for capital improvements made to one side of their property.   This funding allows petitioned improvements to be made to the other side of their property without assessment.",Citywide,Citywide,,
CF-051755,Phalen Park Historic Arch Bridge Restoration (No. L8560),"Rehabilitate and restore historic stone-arch brige (L8560) over lagoon waterway located in Phalen Regional Park and which links Lake Phalen, Round Lake, and others via the originally designed waterways constructed between the two lakes. Proved lighting and historic markers.",Phalen Regional Park,5,,
SU-043247,Margaret Street Bike Route,This project aims to establish a marked east/west bicycle route in east St. Paul.,Margaret Street,4,,
SU-121077,Cromwell-Bayless-Raymond Traffic Calming,"Modifications include removal of asphalt from all three areas, replacing with dirt and sod, replacing temporary curb bump-outs with concrete curbs, extending the sidewalk along Raymond Avenue and planting approximately eight trees along Raymond.","Raymond Avenue, Bayless Avenue and Cromwell Avenue",12,,
CF-121051,Langford Park Play Area and Sitework,"Replacement of existing obsolete children's play area, including related site furnishings, landscaping and safety surfacing.  Project also includes replacement of existing tennis and basketball courts and adjoining walks.",30 Langford Park West / Langford Park,12,,
CF-012484,Conway Totlot and Pederson Pathway,Replace the totlot at Conway Rec Center with safe and attractive equipment and replace the Pederson pathway between Conway Street and Wilson Avenue with pervious pavers to improve drainage.,"Wilson Avenue, Conway Street, and Ruth Street",1,,
SU-551109-1,Dale Street Redesign,"The Dale Street Redesign Project consists of public improvements at the intersection of Como-Front-Dale, the Dale Street Bridge (including a stoplight at Dale and Topping), and the intersection of Dale Street and Minnehaha Avenue. The work at Como-Front-Dale includes traffic calming to address pedestrian safety issues (turn lanes, pedestrian safety islands, potential roundabout, and landscaping), transit improvements (bus stop locations, shelters, etc.) and addressing business access issues. At the request of the mayor, the St. Paul on the Mississippi Design Center is facilitating a public design charrette (first weekend in March) to determine exactly what improvements will be done. The Dale Street Bridge desperately needs fencing, lighting and pedestrian safety improvements to support the economic development underway at the Great Northern Business Center and nearby commercial nodes. Working with adjacent business owners at Dale and Minnehaha, an outdoor farmer's market is created with streetscape improvements (lighting, pedestrian safety issues, etc.) landscaping and structural enhancements.","Intersection of Como, Front and Dale Streets, the Dale Street Bridge, and the intersection of Dale St.and Minnehaha Ave.","6, 7",,
SU-061912,Rice Street Bridge 9470 Replacement,Reconstruct Rice Street Bridge 9470 and roadway from Ivy to Cottage. This proposal is to provide matching CIB funding for St. Paul standard lantern lighting and ornamental bridge railing enhancements in accordance with City rules.,Rice Street from Ivy to Cottage,6,,
SU-6602231-6,Blair/Griggs RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Blair/Griggs RSVP,11,,
SU-6602231-11,Charles Im Park to Aldine,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Charles Im Park to Aldine,11,,
SU-663523-1,SPSVP Traffic Signals,The City's Traffic Division looked ahead to our 2016 and 2017 SPSVP program to see what traffic signals may be impacted by the street reconstruction.  They are estimating that we will need $875K of MSA in 2016 and $675K of MSA in 2017 for traffic signal reconstructs/revisions.,Citywide,Citywide,,
RE-6603343-1,South Snelling Medians - 8-80 Vitality Fund,"Based on the work of Gil Penalosa, an internationally renowned urban designer, this fund will allow the building of bold and vibrant places across the City of Saint Paul.  The 8-80 Vitality Fund will build on the momentum of recent investments such as Rebuild Saint Paul and the Green Line.  An 8-80 city works for people aged 8 and aged 80, by providing streets and public spaces that create vital and welcoming neighborhoods.

Investments include:
$8M - Palace Theatre renovations to match State bonding
$8M - Jackson Street reconstruction and phase 1 of downtown bike loop
$13.2M - Grand Rounds, including street reconstruction and bike lanes
$2M - Dickerman Park, developing green spaces on the Green Line
$1.8M - Optical fiber infrastructure to provide high speed citywide network connectivity
$9.5M - Street Reconstruction, including 8-80 streets and public spaces",South Snelling - Randolph to Highland,3,,
SU-552722-1,Central Corridor Off-Street Parking,"To mitigate the loss of 85% of parking on University Avenue when LRT is developed.  Off-street parking will have to be used more efficiently.  To do that, the accessibility, safety and appearance of the public and private land at the interface between the commercial properties along University Avenue and the surrounding residential neighborhoods will have to be dramatically improved.  This project proposes to use $350,000 in CIB funding to improve 10 public alleys.  There will be $350,000 in grants to improve private property and $200,000 in workforce developemnt funding for a summer youth employment program to provide much of the labor.  These improvements will dramatically upgrade the commercial parking resources and help buffer residential properties from commercial intrusion.  They include: repaving the public alleys, installing additional public and private lighting, centralizing and sharing refuse and recycling facilities, removing and/or replacing antiquated fences and retaining walls and improved landscapping.",The Public Alleys immediately north and south of University Avenue between TH 280 and Rice Street.,"7, 8, 11, 12",,
SU-663362,Arterial/Collector Street Overlay Program,An arterial/collector street overlay program will provide Public Works with additional funding to address deteriorating streets throughout the City. CIB funding will supplement existing Right-of-Way resources to provide a total of $1.75 million for street overlays in 2015. Overlay projects will include bike facilities as envisioned in the City Bike Plan.,Citywide,Citywide,,
SU-6602231-9,Battle Creek/ Upper Afton RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Battle Creek/ Upper Afton RSVP,1,,
RE-551463-1,Sparc Deferred Loan Program,"Sparc will provide and manage home improvement loans for the residents of the Hamline Midway, North End, and South Como neighborhoods.  The loans are intended for exterior improvements, including lead line replacements and well capping - however, funds can be used for interior improvements only to address health and safety hazards.  Funds will be structured as a forgivable loan (50% of loan) with a five year residency requirement and the balance as a deferred loan due on sale (50% of loan).  Those earning more than 80% of the Twin Cities Area Median Income (AMI) will not be eligible.  Those earning between 50-80% of AMI must provide a 50% match of total project costs.  Those earning between 30-50% of AMI a 25% match, and those earning less than 30% AMI will not be required to match loan funds.","Hamline Midway, North End, and South Como Neighborhoods","6, 11",,
