VOTE TABULATION DISTRICT ID ,PRECINCT NAME,PRECINCT NUMBER ,MUNICIPALITY OR UNORGANIZED TERRITORY,COUNTY,COUNTY NUMBER,US CONGRESSIONAL DISTRICT,MN SENATE DISTRICT,MN LEGISLATIVE DISTRICT,COUNTY COMMISSIONER DISTRICT,JUDICIAL DISTRICT,SOIL AND WATER CONSERVATION DISTRICT,WARD,VOTE TABULATING SYSTEM,VOTE TABULATING EQUIPMENT USED FOR PRECINCT,MAIL BALLOTING,PRE-REGISTRATIONS,ELECTION DAY REGISTRATIONS,IN-PERSON VOTERS, ABSENTEE BALLOTS,FEDERAL OFFICES ABSENTEE BALLOTS ,TOTAL VOTES CAST,US SENATOR INDEPENDENCE PARTY VOTES,US SENATOR REPUBLICAN PARTY VOTES,US SENATOR DFL PARTY VOTES,US SENATOR LIBERTARIAN PARTY VOTES,US SENATOR WRITE IN VOTES,US SENATOR TOTAL VOTES,US REPRESENTATIVE INDEPENDENCE PARTY VOTES,US REPRESENTATIVE REPUBLICAN PARTY VOTES,US REPRESENTATIVE DEMOCRATIC-FARMER-LABOR PARTY VOTES,US REPRESENTATIVE WRITE IN VOTES,US REPRESENTATIVE TOTAL VOTES,MN REPRESENTATIVE INDEPENDENCE PARTY VOTES,MN REPRESENTATIVE REPUBLICAN PARTY VOTES,MN REPRESENTATIVE DEMOCRATIC-FARMER-LABOR PARTY VOTES,MN REPRESENTATIVE WRITE IN VOTES,MN REPRESENTATIVE TOTAL VOTES,MN GOVERNOR INDEPENDENCE PARTY VOTES,MN GOVERNOR REPUBLICAN PARTY VOTES,MN GOVERNOR DFL PARTY VOTES,MN GOVERNOR LIBERTARIAN PARTY VOTES,MN GOVERNOR GRASSROOTS - LEGALIZE CANNABIS PARTY VOTES,MN GOVERNOR WRITE IN VOTES,MN GOVERNOR TOTAL VOTES,MN SECRETARY OF STATE INDEPENDENCE PARTY VOTES,MN SECRETARY OF STATE REPUBLICAN PARTY VOTES,MN SECRETARY OF STATE DFL PARTY VOTES,MN SECRETARY OF STATE LIBERTARIAN PARTY VOTES,MN SECRETARY OF STATE WRITE IN VOTES,MN SECRETARY OF STATE TOTAL VOTES,MN STATE AUDITOR INDEPENDENCE PARTY VOTES,MN STATE AUDITOR REPUBLICAN PARTY CANDIDATE VOTES,MN STATE AUDITOR DFL PARTY VOTES,MN STATE AUDITOR LIBERTARIAN PARTY VOTES,MN STATE AUDITOR GRASSROOTS - LEGALIZE CANNABIS PARTY VOTES,MN STATE AUDITOR WRITE IN VOTES,MN STATE AUDITOR TOTAL VOTES,MN ATTORNEY GENERAL INDEPENDENCE PARTY VOTES,MN ATTORNEY GENERAL REPUBLICAN PARTY VOTES,MN ATTORNEY GENERAL DFL PARTY VOTES,MN ATTORNEY GENERAL GREEN PARTY VOTES,MN ATTORNEY GENERAL LIBERTARIAN PARTY VOTES,MN ATTORNEY GENERAL LEGAL MARIJUANA NOW PARTY VOTES,MN ATTORNEY GENERAL WRITE IN VOTES,MN ATTORNEY GENERAL TOTAL VOTES
271231160,Saint Paul W-5 P-1,1160,St. Paul,Ramsey,62,4,66,66A,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,1976,89,1205,120,3,1328,13,351,937,21,1,1323,68,319,922,3,1312,0,372,910,4,1286,40,352,899,9,23,0,1323,58,359,848,22,2,1289,37,309,892,15,43,0,1296,32,291,852,71,17,37,0,1300
271231170,Saint Paul W-5 P-2,1170,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,2439,92,1582,183,0,1765,24,412,1309,13,2,1760,90,360,1297,1,1748,0,444,1235,7,1686,56,417,1260,10,16,1,1760,80,403,1178,34,3,1698,52,344,1266,19,32,1,1714,41,317,1180,140,20,30,1,1729
271231180,Saint Paul W-5 P-3,1180,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,1992,116,1167,77,1,1245,25,187,1006,23,1,1242,75,180,970,0,1225,0,227,958,5,1190,35,195,950,13,43,1,1237,68,192,909,34,0,1203,44,162,917,23,62,0,1208,25,161,864,90,17,51,0,1208
271231190,Saint Paul W-5 P-4,1190,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,3292,171,1387,163,0,1550,35,316,1165,27,0,1543,111,269,1134,2,1516,0,352,1104,6,1462,54,306,1132,13,35,1,1541,89,301,1050,42,3,1485,79,247,1074,31,59,0,1490,44,230,1056,61,34,75,0,1500
271231200,Saint Paul W-5 P-5,1200,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,1781,53,587,65,0,652,31,96,506,9,1,643,59,96,460,1,616,0,146,429,7,582,18,102,483,7,19,0,629,44,106,415,18,0,583,29,88,418,20,23,1,579,30,87,394,21,21,25,1,579
271231210,Saint Paul W-5 P-6,1210,St. Paul,Ramsey,62,4,65,65A,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,1796,52,713,60,0,773,22,165,562,18,1,768,57,146,545,2,750,0,175,469,2,732,28,168,519,10,34,1,760,47,173,488,27,2,737,40,138,503,19,38,2,740,30,134,493,33,19,29,1,739
271231220,Saint Paul W-5 P-7,1220,St. Paul,Ramsey,62,4,65,65B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,1104,60,442,62,0,504,13,93,371,18,0,495,32,82,372,1,487,0,118,344,2,464,13,100,351,12,21,0,497,30,96,321,27,0,474,23,75,325,17,32,0,472,13,75,334,11,18,30,0,481
271231230,Saint Paul W-5 P-8,1230,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,2023,74,761,61,0,822,25,156,622,12,0,815,51,139,598,1,789,0,167,587,2,756,26,165,596,5,14,1,807,50,156,556,15,0,777,37,144,552,9,23,0,765,21,129,563,23,14,24,0,774
271231240,Saint Paul W-5 P-9,1240,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,1701,82,644,50,0,694,21,126,518,22,1,688,56,108,495,3,662,0,145,501,7,653,18,131,501,14,17,0,681,48,126,451,26,5,656,29,121,465,15,24,1,655,18,104,453,27,18,34,2,656
271231250,Saint Paul W-5 P-10,1250,St. Paul,Ramsey,62,4,67,67B,5,2,4123,W-05,Precinct Tabulator,Premier Accuvote,NO,564,21,161,21,0,182,4,27,149,2,0,182,12,22,144,0,178,0,30,140,2,172,8,33,131,1,5,0,178,12,24,136,1,1,174,5,17,140,3,7,0,172,6,15,139,6,5,6,0,177
271231290,Saint Paul W-6 P-1,1290,St. Paul,Ramsey,62,4,66,66B,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1346,58,702,57,0,759,18,201,524,13,2,758,62,171,512,1,746,0,222,502,3,727,26,206,487,13,19,2,753,39,200,451,30,1,721,24,173,478,18,27,0,720,19,160,479,18,25,24,1,726
271231300,Saint Paul W-6 P-2,1300,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1192,56,454,36,0,490,17,115,339,14,0,485,41,106,326,0,473,0,127,327,1,455,14,116,326,8,15,0,479,29,118,295,21,0,463,17,107,301,11,27,0,463,13,96,304,13,17,24,0,467
271231310,Saint Paul W-6 P-3,1310,St. Paul,Ramsey,62,4,66,66B,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,625,26,223,16,0,239,12,35,180,10,0,237,27,29,165,2,223,0,40,173,2,215,13,31,170,6,9,0,229,13,31,164,9,0,217,23,24,157,9,7,0,220,11,22,146,10,10,16,0,215
271231320,Saint Paul W-6 P-4,1320,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1252,51,753,46,0,799,15,180,587,12,2,796,51,176,559,2,788,0,200,575,2,777,27,190,543,7,20,0,787,49,189,503,28,2,771,40,160,517,21,33,1,772,19,143,510,43,26,33,2,776
271231330,Saint Paul W-6 P-5,1330,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,2146,65,809,73,0,882,23,207,632,15,0,877,71,184,592,1,848,0,240,589,2,831,35,217,583,19,16,0,870,52,223,530,25,1,831,57,195,515,23,36,1,827,28,190,522,33,23,38,1,835
271231340,Saint Paul W-6 P-6,1340,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,746,28,217,15,0,232,0,41,184,5,1,231,15,36,169,0,220,0,43,168,0,211,4,43,164,3,12,0,226,8,43,154,6,0,211,8,36,152,3,11,0,210,4,35,154,5,3,11,0,212
271231350,Saint Paul W-6 P-7,1350,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1465,59,621,50,0,671,15,168,478,5,2,668,44,149,452,0,645,0,173,469,3,645,20,184,442,5,13,1,665,40,168,417,13,0,638,43,140,413,8,29,0,633,21,146,420,17,13,20,0,637
271231360,Saint Paul W-6 P-8,1360,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1859,66,723,66,0,789,22,177,576,10,0,785,54,161,547,2,764,0,203,547,2,752,17,196,531,4,25,2,775,42,184,485,20,2,733,22,161,504,18,32,0,737,26,163,496,9,13,41,0,748
271231370,Saint Paul W-6 P-9,1370,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1499,62,520,52,0,572,24,89,442,4,1,560,44,85,417,0,546,0,106,414,5,525,16,100,413,7,17,0,553,29,110,367,16,0,522,27,92,373,9,23,0,524,18,68,392,21,8,19,0,526
271231380,Saint Paul W-6 P-10,1380,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1436,48,469,46,0,515,25,87,382,13,0,507,55,87,358,0,500,0,103,384,3,490,28,87,360,10,17,1,503,39,104,330,11,0,484,32,79,335,13,21,0,480,25,79,330,21,10,21,0,486
271231390,Saint Paul W-6 P-11,1390,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,996,22,460,31,1,492,10,115,354,6,2,487,29,102,343,2,476,0,126,342,0,468,6,123,337,3,9,0,478,22,111,315,10,1,459,14,101,329,7,15,0,466,6,92,328,12,10,19,0,467
271231400,Saint Paul W-6 P-12,1400,St. Paul,Ramsey,62,4,67,67A,7,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1657,61,820,49,0,869,20,252,571,18,1,862,65,233,552,1,851,0,284,555,2,841,22,268,532,16,25,0,863,49,267,495,33,1,845,36,215,533,22,35,1,842,19,214,529,18,27,37,1,845
271231410,Saint Paul W-6 P-13,1410,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1139,53,482,33,0,515,16,151,331,11,0,509,47,136,321,0,504,0,172,325,0,497,23,155,308,8,15,0,509,34,153,293,17,0,497,23,135,300,14,22,0,494,21,123,305,10,16,21,1,497
271231420,Saint Paul W-6 P-14,1420,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-06,Precinct Tabulator,Premier Accuvote,NO,1139,53,520,38,0,558,12,137,394,12,0,555,31,128,389,0,548,0,145,396,0,541,21,134,372,5,18,0,550,29,148,357,7,1,542,21,114,371,4,29,0,539,16,116,363,14,3,26,1,539
271231430,Saint Paul W-7 P-1,1430,St. Paul,Ramsey,62,4,67,67B,5,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1902,94,700,55,0,755,20,117,597,20,0,754,45,116,570,0,731,0,139,569,3,711,22,123,574,8,21,0,748,46,126,523,30,0,725,33,97,538,19,36,0,723,22,108,494,40,21,44,0,729
271231440,Saint Paul W-7 P-2,1440,St. Paul,Ramsey,62,4,67,67A,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1188,42,409,43,0,452,19,97,325,9,0,450,41,84,306,0,431,0,110,309,3,422,13,104,305,7,11,1,441,16,100,283,20,2,421,19,85,284,14,14,0,416,11,79,284,13,18,18,1,424
271231450,Saint Paul W-7 P-3,1450,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1420,54,559,44,0,603,18,133,439,9,0,599,58,114,411,0,583,0,153,412,3,568,29,142,402,9,12,0,594,48,134,361,29,0,572,36,115,385,15,26,0,577,19,109,391,18,20,22,0,579
271231460,Saint Paul W-7 P-4,1460,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,916,43,384,21,0,405,11,86,299,8,0,404,30,81,277,0,388,0,93,288,0,381,13,90,282,5,8,0,398,28,87,251,11,0,377,13,72,268,7,19,1,380,8,77,261,10,10,19,0,385
271231470,Saint Paul W-7 P-5,1470,St. Paul,Ramsey,62,4,67,67B,5,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1341,45,708,64,2,774,18,167,573,12,0,770,51,139,567,0,757,0,172,559,1,732,25,173,546,7,17,0,768,45,167,506,21,0,739,39,129,529,11,33,0,741,22,130,514,43,18,25,0,752
271231480,Saint Paul W-7 P-6,1480,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1313,49,565,39,0,604,14,157,417,11,0,599,54,142,386,0,582,0,168,393,2,563,15,159,391,14,15,1,595,30,160,357,28,0,575,28,135,369,16,32,0,580,17,117,370,16,23,33,0,576
271231490,Saint Paul W-7 P-7,1490,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1170,44,480,45,0,525,12,113,381,9,0,515,31,104,370,1,506,0,128,367,2,497,11,109,367,11,17,1,516,15,120,345,21,1,502,22,97,345,17,18,1,500,13,107,340,15,14,17,1,507
271231500,Saint Paul W-7 P-8,1500,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1667,70,729,74,0,803,10,213,560,16,0,799,31,196,563,0,790,0,211,560,2,773,23,230,526,7,9,0,795,39,228,493,15,0,775,30,182,534,10,25,0,781,9,190,537,15,9,23,0,783
271231510,Saint Paul W-7 P-9,1510,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1495,47,651,53,2,706,20,195,472,18,0,705,58,170,462,0,690,0,214,457,2,673,28,195,454,10,9,0,696,49,205,405,22,0,681,34,169,432,15,31,2,683,24,160,434,22,15,29,0,684
271231520,Saint Paul W-7 P-10,1520,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1359,45,647,48,0,695,15,203,458,15,1,692,54,174,449,0,677,0,220,440,4,664,16,217,438,5,13,2,691,49,210,384,22,2,667,30,196,395,13,32,0,666,15,177,406,18,19,31,0,666
271231530,Saint Paul W-7 P-11,1530,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1268,66,447,48,0,495,10,98,372,12,0,492,36,82,367,1,486,0,102,378,2,482,13,97,353,8,18,1,490,24,101,335,16,1,477,16,80,342,12,27,0,477,11,77,355,10,9,22,0,484
271231540,Saint Paul W-7 P-12,1540,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,2539,105,1230,117,2,1349,23,353,949,18,1,1344,63,321,931,5,1320,0,354,938,4,1296,40,363,898,6,28,0,1335,57,348,858,25,3,1291,53,294,882,21,38,2,1290,13,285,900,34,21,39,1,1293
271231550,Saint Paul W-7 P-13,1550,St. Paul,Ramsey,62,4,67,67B,6,2,4123,W-07,Precinct Tabulator,Premier Accuvote,NO,1770,99,972,80,0,1052,17,305,706,20,0,1048,62,270,699,1,1032,0,297,711,6,1014,28,311,688,6,11,2,1046,53,303,636,23,1,1016,39,261,670,15,32,0,1017,27,251,680,30,17,28,1,1034
